title_index,user_index,rating
402,7652,5
402,7914,5
402,7674,5
402,2266,5
402,197,1
402,10048,5
402,10094,2
402,8991,1
402,8444,5
402,2877,5
402,7836,5
402,8913,5
402,3109,5
402,10499,5
402,4403,5
402,8067,5
402,2635,5
402,3853,5
402,4380,5
402,8528,5
402,654,5
402,4690,1
402,5020,1
402,475,5
402,3577,5
672,2478,2
672,2873,1
672,5702,2
672,4629,1
672,6329,2
672,3376,5
672,846,2
672,7966,5
672,4789,2
672,10231,1
672,5278,5
672,7920,1
672,8934,5
672,1350,1
672,4365,5
672,2355,5
672,4944,1
672,9409,5
672,1318,3
672,9264,5
672,2796,5
672,9774,5
672,2376,5
672,10274,5
672,6386,3
408,4202,4
408,7275,3
408,8331,3
408,8558,1
408,4593,3
408,6231,2
408,7001,1
408,9090,1
408,8204,3
408,9813,5
408,623,5
408,9084,5
408,1166,5
408,3761,5
408,1202,5
408,10000,5
408,10433,5
408,745,3
408,8756,2
408,5179,2
87,5779,4
87,836,5
87,10479,5
87,2470,5
87,2278,5
87,1612,5
87,4630,5
606,4711,2
606,7992,2
606,2820,1
606,3079,2
606,10504,1
606,4194,2
606,9855,1
606,9989,1
606,9218,1
606,10049,1
606,4618,2
606,477,3
606,9339,3
606,539,2
606,8904,5
606,10290,5
606,7251,5
606,8685,5
606,6596,5
606,4357,5
606,4201,5
606,2845,5
606,2775,5
606,1262,5
606,3573,5
532,10561,5
532,5994,5
532,7929,5
532,9768,5
532,4523,5
532,10629,5
532,4411,5
532,687,5
532,4757,4
224,8630,4
224,2437,5
224,7028,5
224,5792,5
224,6070,5
224,3361,5
224,8802,5
224,8808,5
224,8725,5
224,8631,4
224,1804,4
224,10381,4
529,4525,3
529,10481,4
529,9228,4
529,2936,5
529,9983,5
529,1052,5
529,1132,5
529,2921,5
529,3188,5
529,4902,5
529,1537,5
529,8589,5
529,4190,4
529,7135,5
529,3764,5
529,5033,5
529,6858,5
529,7854,5
529,7211,5
529,6184,5
529,454,5
529,9058,5
529,3259,4
529,4816,5
529,9857,5
384,83,3
384,7701,5
384,10331,5
384,3193,5
384,7933,5
384,6326,5
384,9043,5
384,9200,4
384,9580,5
384,2207,5
384,7039,4
384,4861,5
384,9009,5
384,9728,5
384,6264,5
384,1095,1
384,5274,1
384,7000,5
384,9745,5
384,4640,5
384,1018,5
384,9255,5
384,4755,5
384,5575,5
384,4567,5
285,9741,1
285,9589,2
285,4987,1
285,1193,2
285,2891,2
285,6877,1
285,5345,1
285,3668,3
285,4734,2
285,6548,1
285,5583,1
285,1963,3
285,65,2
285,4845,1
285,4645,4
285,6145,2
285,4655,1
285,7458,3
285,7728,1
285,4821,5
285,8852,3
285,7328,2
285,10449,1
285,4065,1
7,1321,1
7,10487,1
7,3489,1
7,5509,1
7,5283,1
7,242,5
7,5115,5
7,6561,5
7,2755,1
7,10112,1
7,1824,1
7,7054,5
7,1610,5
7,3262,5
7,2887,4
7,9826,3
7,4066,1
7,8829,1
7,2141,5
7,1175,5
7,2885,5
7,272,5
7,10464,5
7,5925,5
7,7581,5
279,4841,5
279,9801,5
279,7564,5
279,8992,5
279,3928,4
279,2379,2
279,9561,1
279,8276,1
231,5770,2
231,1277,5
231,603,5
231,9529,5
231,2255,5
231,10334,5
538,9751,5
538,6762,5
538,6950,5
538,8993,5
538,483,5
538,8206,5
538,1206,5
538,9427,5
538,7873,5
538,4700,5
538,6898,5
538,2283,5
538,502,5
538,9501,5
538,5869,5
538,9556,5
538,8998,5
538,8642,5
538,728,5
538,427,5
538,819,5
538,638,5
538,8191,5
538,6134,4
538,10524,5
8,1213,5
8,5356,5
8,8781,5
8,10552,5
8,7622,5
8,717,5
8,898,5
8,7721,5
8,7484,5
8,3878,5
8,8183,5
8,6751,5
8,5982,5
8,9180,5
8,7647,5
8,9835,5
8,3265,4
382,1486,2
382,4245,1
382,10186,3
382,1847,5
382,6424,5
382,9569,5
382,10430,5
382,1656,5
382,5071,3
382,9056,3
382,4920,5
382,8879,5
382,6883,5
382,3786,5
382,4836,5
382,4391,5
382,9708,5
382,2400,5
382,2472,5
382,7156,5
382,6159,5
382,5448,5
382,3782,5
382,5413,4
382,2043,4
352,5086,5
352,4043,5
352,10344,5
352,7098,5
352,5236,5
352,10490,5
352,6817,4
352,9668,4
352,2215,5
352,6223,5
352,8976,5
352,8925,5
352,9577,5
352,5372,5
352,9977,5
352,1941,5
352,4335,5
352,9534,2
506,9391,2
506,518,2
506,3472,1
506,5007,1
506,9455,1
506,1689,5
506,1695,1
506,2616,5
506,4169,5
506,1559,5
506,8641,5
506,8696,1
506,4054,1
506,10508,5
506,4812,5
506,6430,2
506,6928,5
506,4327,5
506,10071,5
506,5044,5
506,8524,5
506,2809,5
506,8476,5
506,4465,5
506,10618,5
601,1925,1
601,626,5
601,122,5
601,9519,5
601,2995,5
601,13,5
601,6973,4
601,3818,5
601,1244,5
601,2600,5
601,5499,5
601,5460,5
601,2840,4
601,8463,2
601,547,1
601,8708,1
601,7964,5
601,7309,5
601,6142,5
601,351,5
601,2517,5
601,4285,5
601,1285,5
601,970,5
601,2826,5
182,700,1
182,1817,5
182,610,5
182,8519,2
182,2922,3
182,8920,1
182,4508,5
182,724,5
182,7555,3
182,8873,1
182,6043,5
182,8677,5
182,3493,5
182,1733,4
182,2870,5
182,3803,5
182,5187,5
182,217,5
182,2821,5
182,3777,5
182,7181,3
182,156,3
182,103,5
182,4655,5
182,1861,5
234,8407,2
234,923,1
234,4015,1
234,594,3
234,8400,2
234,3163,1
234,6393,3
234,6548,1
234,7351,2
234,3224,2
234,2022,1
234,3724,5
234,2755,5
234,7724,1
234,10080,5
234,5691,1
234,3627,5
234,6857,1
234,2088,5
234,4079,1
234,2858,1
234,9728,5
234,10428,4
234,2979,3
234,8106,5
174,903,1
174,9578,2
174,10243,3
174,4660,4
174,1574,3
174,946,1
174,3796,5
174,5714,5
174,9626,5
174,5453,5
174,993,5
174,4206,4
174,5484,4
174,5952,1
174,4216,1
174,5586,5
174,1364,5
174,1866,5
174,211,5
174,4342,5
174,10608,5
174,6352,5
174,5775,5
174,5517,5
174,4905,5
489,7343,2
489,7847,4
489,7526,5
489,1775,5
489,6298,5
489,4579,5
489,5660,5
489,8784,5
489,3217,5
489,5008,5
489,7800,5
489,7463,5
489,5188,5
489,471,5
489,2155,4
489,3223,4
489,8926,4
489,5532,4
489,5768,3
489,76,2
610,6554,3
610,10027,5
610,7568,5
610,4981,5
610,1657,5
610,8584,5
610,8962,5
610,6547,5
610,6922,5
610,6539,5
610,3323,5
610,9511,5
610,10315,5
610,8639,4
610,1067,4
707,9999,4
707,10434,5
707,7252,5
707,8988,5
707,3587,1
707,2463,3
707,6792,5
707,367,5
707,6768,5
707,2331,5
707,1141,5
707,3319,5
707,2863,5
707,7297,5
707,8789,5
707,8560,5
707,6087,5
707,3589,5
707,7585,5
707,1320,5
707,8698,5
707,8420,5
707,1079,5
707,6585,5
707,3747,5
376,1966,5
376,3720,5
376,1248,5
376,6304,5
376,6932,5
376,5903,5
376,4753,5
376,4598,5
376,2987,5
376,8124,5
376,8362,5
376,629,5
376,5991,5
376,8850,5
376,9533,5
376,713,5
376,6495,5
376,2564,5
376,979,5
376,5942,5
376,8210,5
376,10211,5
376,2176,5
376,182,5
209,3929,3
209,4838,1
209,9954,2
209,10078,1
209,4191,1
209,906,5
209,9770,5
209,1821,3
209,9692,4
209,2062,3
209,1911,3
209,5560,2
209,8133,2
209,636,1
209,6653,5
209,4485,4
209,9336,3
209,5554,3
209,9189,3
209,4431,3
209,6959,1
209,8479,5
209,7219,5
209,6918,5
209,9087,5
339,5487,5
339,10458,5
339,9275,5
339,2166,5
339,9458,1
339,347,5
339,1682,5
339,3784,5
339,9988,5
339,4418,5
339,1825,5
339,7273,5
339,6161,5
339,7272,5
339,6039,5
339,4597,5
339,8488,5
339,2008,5
339,9911,5
339,1350,5
339,2961,5
339,9054,5
339,7741,5
339,4453,5
339,3759,5
342,10474,5
342,7123,5
342,5085,5
342,2763,5
342,4294,3
342,10365,5
342,4805,5
342,2014,5
342,648,4
342,6146,4
342,7576,4
673,6698,1
673,10106,5
673,8839,5
673,2977,5
673,5772,5
673,690,5
673,770,4
673,6767,4
673,3529,5
673,2739,4
673,9965,4
673,6887,4
673,4824,4
673,1259,4
673,1957,5
673,4816,5
673,3553,5
673,2692,5
673,4415,5
673,2548,5
673,5763,5
673,4368,5
673,936,5
673,1850,5
673,6188,5
437,4911,3
437,4470,2
437,1828,4
437,1274,2
437,7867,1
437,1089,5
437,5009,5
437,115,5
437,6917,5
437,9266,5
437,7329,5
437,8566,5
437,2607,5
437,9690,5
437,4557,4
437,6684,4
437,1878,2
437,9273,2
437,4055,1
437,6252,5
437,5421,5
437,4971,5
437,5258,5
437,10557,5
437,4600,5
143,1522,5
143,7819,5
143,9379,5
143,7473,5
