title_index,level,organization,organization_link,rating,rating_count,course_type,skills,instructors,links
7,Beginner level,The State University of New York,https://www.coursera.org/partners/suny,4.3,442,course,"['Collaboration', 'Professional Development', 'Computer Literacy', 'Communication', 'Creativity', 'Web Content Accessibility Guidelines', 'Digital Communications', 'Emerging Technologies', 'Education Software and Technology', 'Lifelong Learning', 'Computer Security Awareness Training', 'Data Ethics', 'Technology Solutions', 'Personal Development', 'Growth Mindedness', 'Critical Thinking']","['Roberta (Robin) Sullivan', 'Cherie van Putten']","['https://www.coursera.org/instructor/robertarobinsullivan', 'https://www.coursera.org/instructor/~14486633']"
538,Intermediate level,University of Colorado Boulder,https://www.coursera.org/partners/boulder,4.7,1411,course,"['Electrical Systems', 'Basic Electrical Systems', 'Design Specifications', 'System Requirements', 'Electrical Wiring', 'Mechanics', 'Power Electronics', 'Embedded Software', 'Electrical Equipment', 'Torque (Physics)', 'Electronics', 'Control Systems', 'Electronic Hardware', 'Three-Phase', 'Electronic Components', 'Laboratory Experience']","['Jay Mendelson', 'James Zweighaft']","['https://www.coursera.org/instructor/jaymendelson', 'https://www.coursera.org/instructor/j-zweighaft', 'https://www.coursera.org/degrees/msee-boulder', 'https://www.coursera.org/degrees/iiot-boulder']"
8,Advanced level,Queen Mary University of London,https://www.coursera.org/partners/qmul,4.9,56,course,"['Professional Development', 'Emotional Intelligence', 'Self-Awareness', 'Influencing', 'Delegation Skills', 'Time Management', 'Leadership Development', 'Executive Presence', 'Leadership and Management', 'Conflict Management', 'Communication', 'Adaptability', 'Leadership']","['Dr Nigel Spencer', 'Mike Mister', 'Arun Singh']","['https://www.coursera.org/instructor/~79156611', 'https://www.coursera.org/instructor/~93131293', 'https://www.coursera.org/instructor/~81743542', 'https://www.coursera.org/instructor/~79156611', 'https://www.coursera.org/instructor/~93131293', 'https://www.coursera.org/instructor/~81743542']"
382,Beginner level,Adobe,https://www.coursera.org/partners/adobe,4.7,1106,course,"['Content Creation', 'Generative AI Agents', 'Visual Design', 'Logo Design', 'Digital Design', 'Graphic Design', 'Creative Design', 'Color Theory', 'Typography', 'User Interface and User Experience (UI/UX) Design', 'Responsible AI']",['Adobe'],['https://www.coursera.org/instructor/adobe']
352,Advanced level,University of Virginia,https://www.coursera.org/partners/uva,4.6,54,course,"['Economics', 'Agentic systems', 'Economic Development', 'Policy Analysis', 'Automation', 'Responsible AI', 'Innovation', 'Artificial Intelligence', 'Market Dynamics', 'Emerging Technologies', 'Labor Relations', 'Behavioral Economics']",['Anton Korinek'],['https://www.coursera.org/instructor/korinek']
506,Beginner level,IBM,https://www.coursera.org/partners/ibm-skills-network,4.7,4317,course,,"['Sandip Saha Joy', 'Kevin McFaul', 'Steve Ryan']","['https://www.coursera.org/instructor/sandipsahajoy', 'https://www.coursera.org/instructor/~74013819', 'https://www.coursera.org/instructor/stever', 'https://www.coursera.org/instructor/sandipsahajoy', 'https://www.coursera.org/instructor/~74013819', 'https://www.coursera.org/instructor/stever']"
601,Beginner level,Rice University,https://www.coursera.org/partners/rice,4.7,677,course,"['Stress Management', 'Self-Awareness', 'Prioritization', 'Emotional Intelligence', 'Time Management', 'Communication', 'Goal Setting', 'Relationship Building', 'Creative Problem-Solving', 'Resilience', 'Personal Development', 'Adaptability', 'Leadership', 'Leadership Development']",['David Van Kleeck'],['https://www.coursera.org/instructor/dave-vankleeck']
182,Beginner level,Erasmus University Rotterdam,https://www.coursera.org/partners/erasmus,4.5,367,course,"['Market Analysis', 'Environmental Issue', 'Tax', 'Sustainable Development', 'Socioeconomics', 'Economics', 'Policy', 'and Social Studies', 'Market Dynamics', 'Financial Market', 'Consumer Behaviour', 'Behavioral Economics', 'Public Policies', 'Supply And Demand', 'Decision Making', 'Economics']","['Irene van Staveren', 'Rob van Tulder', 'Maria Dafnomili']","['https://www.coursera.org/instructor/~17291124', 'https://www.coursera.org/instructor/~22526066', 'https://www.coursera.org/instructor/~22745556']"
234,Intermediate level,"University of California, Davis",https://www.coursera.org/partners/ucdavis,4.5,5299,course,"['Target Audience', 'Copywriting', 'Driving engagement', 'Storytelling', 'Social Media Content', 'Content Strategy', 'Content Creation', 'Branding', 'Marketing Strategies', 'Ethical Standards And Conduct', 'Marketing', 'Content Development and Management', 'Multimedia', 'Writing', 'Strategic Marketing', 'Persona Development', 'Content Performance Analysis', 'Content Marketing']",['Sonia Simone'],['https://www.coursera.org/instructor/sonia-simone']
174,Intermediate level,IBM,https://www.coursera.org/partners/ibm-skills-network,4.6,264,course,"['Reinforcement Learning', 'Machine Learning Algorithms', 'Deep Learning', 'Artificial Neural Networks', 'Natural Language Processing', 'Computer Vision', 'Dimensionality Reduction', 'Generative Model Architectures', 'Keras (Neural Network Library)', 'Unsupervised Learning', 'Artificial Intelligence', 'Machine Learning', 'Image Analysis', 'Applied Machine Learning']","['Mark J Grover', 'Joseph Santarcangelo', 'Xintong Li', 'Kopal Garg', 'Miguel Maldonado']","['https://www.coursera.org/instructor/mark-grover', 'https://www.coursera.org/instructor/~28511493', 'https://www.coursera.org/instructor/~106623368', 'https://www.coursera.org/instructor/~106389453', 'https://www.coursera.org/instructor/miguelmaldonado', 'https://www.coursera.org/instructor/mark-grover', 'https://www.coursera.org/instructor/~28511493', 'https://www.coursera.org/instructor/~106623368', 'https://www.coursera.org/instructor/~106389453', 'https://www.coursera.org/instructor/miguelmaldonado']"
489,Beginner level,University at Buffalo,https://www.coursera.org/partners/ubuffalo,4.6,125,course,"['Data Literacy', 'Operational Efficiency', 'Product Quality (QA/QC)', 'Root Cause Analysis', 'Quality Management Systems', 'Analytics', 'Data Quality', 'Six Sigma Methodology', 'Case Studies', 'Process Improvement', 'Data Analysis', 'Data Security', 'Lean Methodologies', 'Data Ethics', 'Internet Of Things', 'Data-Driven Decision-Making', 'Operational Excellence']","['Akshay Sivadas', ""Brittany O'Dea""]","['https://www.coursera.org/instructor/~20145078', 'https://www.coursera.org/instructor/~70864535', 'https://www.coursera.org/instructor/~20145078', 'https://www.coursera.org/instructor/~70864535']"
610,Beginner level,Illinois Tech,https://www.coursera.org/partners/illinois-tech,4.5,36,course,"['Business Ethics', 'Supervised Learning', 'Artificial Intelligence and Machine Learning (AI/ML)', 'OpenAI', 'Human Machine Interfaces', 'Artificial Intelligence', 'Generative AI', 'ChatGPT', 'Market Share', 'Emerging Technologies', 'Applied Machine Learning', 'Deep Learning', 'Market Data', 'Anthropic Claude', 'Machine Learning', 'Business Intelligence', 'Responsible AI']",['Siva Balasubramanian'],['https://www.coursera.org/instructor/~150383115']
707,Beginner level,Unilever,https://www.coursera.org/partners/unilever,4.8,469,course,"['Security Management', 'Operating Expense', 'Logistics Management', 'Analytics', 'Corporate Sustainability', 'Inventory Management System', 'Demand Planning', 'Problem Solving', 'Scheduling', 'Forecasting', 'Process Improvement', 'Supply Chain Planning', 'Sustainable Business', 'Data Visualization', 'Expense Management', 'Capacity Planning', 'Supply Chain Management', 'Risk Management', 'Data Analysis', 'Supply Chain']",['Unilever Team'],['https://www.coursera.org/instructor/~141749357']
376,Beginner level,Yale University,https://www.coursera.org/partners/yale,4.9,165,course,"['Sustainable Development', 'Business Modeling', 'Innovation', 'Research and Design', 'Verbal Communication Skills', 'Advocacy', 'Performance Metric', 'Stakeholder Engagement', 'Fundraising', 'Entrepreneurship', 'Organizational Structure', 'Design Thinking', 'Community Outreach', 'Social Sciences']",['Teresa Chahine'],['https://www.coursera.org/instructor/teresa-chahine']
209,Intermediate level,Rutgers the State University of New Jersey,https://www.coursera.org/partners/rutgers,4.3,189,course,"['Key Performance Indicators (KPIs)', 'Presentations', 'Marketing Strategies', 'Content Marketing', 'Influencing', 'Marketing Analytics', 'Marketing Effectiveness', 'Campaign Management', 'Return On Investment', 'Social Media', 'Target Audience', 'Customer Engagement', 'Social Media Strategy', 'Brand Awareness']",['Greg Jarboe'],['https://www.coursera.org/instructor/~26878288']
