Title,Level,Organization,Organization_Link,Rating,Rating count,Course type,Skills,Courses,Courses_Link,Instructors,links
Microsoft Power BI Data Analyst Professional Certificate | Coursera,Beginner level,Microsoft,https://www.coursera.org/partners/microsoft,4.6,"7,487",professional-certificates,"Data Storage Technologies, Business Intelligence, Data Storage, Data Analysis, Power BI, Statistical Visualization, Data Visualization, Data Integration, Data Literacy, Database Design, Statistical Reporting, Data Collection","Preparing Data for Analysis with Microsoft Excel, Harnessing the Power of Data with Power BI, Extract, Transform and Load Data in Power BI, Data Modeling in Power BI, Data Analysis and Visualization with Power BI, Creative Designing in Power BI, Deploy and Maintain Power BI Assets and Capstone project, Microsoft PL-300 Exam Preparation and Practice","https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-modeling-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/creative-designing-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/deploy-and-maintain-power-bi-assets-and-capstone-project?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/microsoft-pl-300-exam-preparation-and-practice?specialization=microsoft-power-bi-data-analyst",Instructor: Microsoft,https://www.coursera.org/instructor/microsoft
Microsoft Power BI Data Analyst Professional Certificate | Coursera,Beginner level,Microsoft,https://www.coursera.org/partners/microsoft,4.6,"7,487",professional-certificates,"Data Storage Technologies, Business Intelligence, Data Storage, Data Analysis, Power BI, Statistical Visualization, Data Visualization, Data Integration, Data Literacy, Database Design, Statistical Reporting, Data Collection","Preparing Data for Analysis with Microsoft Excel, Harnessing the Power of Data with Power BI, Extract, Transform and Load Data in Power BI, Data Modeling in Power BI, Data Analysis and Visualization with Power BI, Creative Designing in Power BI, Deploy and Maintain Power BI Assets and Capstone project, Microsoft PL-300 Exam Preparation and Practice","https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-modeling-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/creative-designing-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/deploy-and-maintain-power-bi-assets-and-capstone-project?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/microsoft-pl-300-exam-preparation-and-practice?specialization=microsoft-power-bi-data-analyst",Instructor: Microsoft,https://www.coursera.org/instructor/microsoft
Microsoft Power BI Data Analyst Professional Certificate | Coursera,Beginner level,Microsoft,https://www.coursera.org/partners/microsoft,4.6,"7,487",professional-certificates,"Data Storage Technologies, Business Intelligence, Data Storage, Data Analysis, Power BI, Statistical Visualization, Data Visualization, Data Integration, Data Literacy, Database Design, Statistical Reporting, Data Collection","Preparing Data for Analysis with Microsoft Excel, Harnessing the Power of Data with Power BI, Extract, Transform and Load Data in Power BI, Data Modeling in Power BI, Data Analysis and Visualization with Power BI, Creative Designing in Power BI, Deploy and Maintain Power BI Assets and Capstone project, Microsoft PL-300 Exam Preparation and Practice","https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-modeling-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/creative-designing-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/deploy-and-maintain-power-bi-assets-and-capstone-project?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/microsoft-pl-300-exam-preparation-and-practice?specialization=microsoft-power-bi-data-analyst",Instructor: Microsoft,https://www.coursera.org/instructor/microsoft
Microsoft Power BI Data Analyst Professional Certificate | Coursera,Beginner level,Microsoft,https://www.coursera.org/partners/microsoft,4.6,"7,487",professional-certificates,"Data Storage Technologies, Business Intelligence, Data Storage, Data Analysis, Power BI, Statistical Visualization, Data Visualization, Data Integration, Data Literacy, Database Design, Statistical Reporting, Data Collection","Preparing Data for Analysis with Microsoft Excel, Harnessing the Power of Data with Power BI, Extract, Transform and Load Data in Power BI, Data Modeling in Power BI, Data Analysis and Visualization with Power BI, Creative Designing in Power BI, Deploy and Maintain Power BI Assets and Capstone project, Microsoft PL-300 Exam Preparation and Practice","https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-modeling-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/creative-designing-in-power-bi?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/deploy-and-maintain-power-bi-assets-and-capstone-project?specialization=microsoft-power-bi-data-analyst, https://www.coursera.org/learn/microsoft-pl-300-exam-preparation-and-practice?specialization=microsoft-power-bi-data-analyst",Instructor: Microsoft,https://www.coursera.org/instructor/microsoft
